Wavelength [nm], Irradiance (before midnight), Irradiance (after midnight)
460.5, 3.04511756848e-10, 7.89602705066e-11
461.0, 6.70027268237e-10, 3.26766913988e-10
461.5, 8.45916921327e-10, 5.3266612355e-10
462.0, 8.30284089535e-10, 7.52174897479e-10
462.5, 8.86891803201e-10, 1.00922934836e-09
463.0, 7.86655579706e-10, 9.83501240408e-10
463.5, 8.4263920359e-10, 1.00706774871e-09
464.0, 1.2800033371e-09, 1.35925056458e-09
464.5, 1.25312736772e-09, 1.67139415219e-09
465.0, 1.77767574998e-09, 1.96872623682e-09
465.5, 1.90423308215e-09, 3.0200393136e-09
466.0, 2.78074044503e-09, 4.94401711096e-09
466.5, 4.60629518423e-09, 7.5978539252e-09
467.0, 6.28958666857e-09, 1.04535435956e-08
467.5, 7.22599953235e-09, 1.24575084359e-08
468.0, 7.41039198505e-09, 1.20173838704e-08
468.5, 5.80627722405e-09, 9.33638508126e-09
469.0, 4.31600872996e-09, 6.39215490922e-09
469.5, 2.80297937937e-09, 4.51882606351e-09
470.0, 2.22896015754e-09, 3.21513808095e-09
470.5, 2.03968125157e-09, 2.81933251282e-09
471.0, 1.78932772839e-09, 2.54093842808e-09
471.5, 1.4757417561e-09, 2.19907937993e-09
472.0, 1.43550650808e-09, 1.81851072613e-09
472.5, 1.42081047784e-09, 1.8729693103e-09
473.0, 1.38987695047e-09, 1.45712084003e-09
473.5, 1.65439498489e-09, 1.28916603958e-09
474.0, 1.38683590924e-09, 1.32077400571e-09
474.5, 1.42285090315e-09, 1.53897078805e-09
475.0, 1.92385108566e-09, 2.12088722269e-09
475.5, 1.72090248363e-09, 2.21366498202e-09
476.0, 1.22661431402e-09, 1.71311886475e-09
476.5, 1.22690164487e-09, 1.16190406284e-09
477.0, 8.23123145428e-10, 2.70312980922e-10
477.5, 1.92332393658e-10, -1.89200400699e-10
478.0, 1.51083170698e-10, -3.42797076078e-10
478.5, 5.87731782725e-10, -3.38913214831e-10
479.0, 7.62351091068e-10, -2.22681527472e-11
479.5, 7.73390785804e-10, 3.8702547583e-11
480.0, 4.34598385445e-10, -9.06185649287e-11
480.5, 5.09318163572e-10, -1.01871894678e-10
481.0, 2.59414602867e-10, -2.2749406049e-10
481.5, 4.0439131393e-10, -6.75715928092e-11
482.0, 1.96755784088e-10, -6.08784210584e-11
482.5, 3.47194119688e-10, 6.29668888456e-11
483.0, 5.70349646216e-10, 1.68100532034e-10
483.5, 5.05166533194e-10, 3.58412571705e-10
484.0, 5.31229880388e-10, 3.25078281212e-10
484.5, 9.08859717489e-10, 3.93559722753e-10
485.0, 1.10693216032e-09, 3.92985864523e-10
485.5, 1.26083084094e-09, 5.01160552032e-10
486.0, 1.38224058128e-09, 5.18601524716e-10
486.5, 1.10188608842e-09, 6.33536698576e-10
487.0, 1.09201337169e-09, 7.43505260266e-10
487.5, 1.40002080326e-09, 6.10919952022e-10
488.0, 1.62307628733e-09, 8.19530961372e-10
488.5, 1.7727639033e-09, 1.06416719055e-09
489.0, 1.73835724463e-09, 1.06862466742e-09
489.5, 1.6461785489e-09, 1.05444132868e-09
490.0, 1.66942789754e-09, 1.33911044672e-09
490.5, 1.72232883284e-09, 1.51337974978e-09
491.0, 1.97180597513e-09, 1.6581879935e-09
491.5, 1.93912170495e-09, 2.0336452133e-09
492.0, 1.66347197152e-09, 2.05512718866e-09
492.5, 1.98576386195e-09, 1.82219837912e-09
493.0, 1.43750436612e-09, 1.59564537983e-09
493.5, 1.38645244164e-09, 1.49517051474e-09
494.0, 1.83351822696e-09, 1.59049476797e-09
494.5, 1.79137599149e-09, 1.98016285323e-09
495.0, 1.55448913794e-09, 2.35472223172e-09
495.5, 1.98782246976e-09, 3.10247018629e-09
496.0, 3.15144859565e-09, 4.80693957873e-09
496.5, 5.02273672099e-09, 8.35154590756e-09
497.0, 9.16290913964e-09, 1.72789501599e-08
497.5, 1.80254465333e-08, 3.50788823216e-08
498.0, 3.4358421151e-08, 5.56866990514e-08
498.5, 4.88801790172e-08, 6.6827391074e-08
499.0, 4.39337173264e-08, 6.33704334513e-08
499.5, 2.9779357302e-08, 4.72380608117e-08
500.0, 1.71880991296e-08, 2.6438223084e-08
500.5, 9.1267549814e-09, 1.30587325938e-08
501.0, 5.00114344833e-09, 6.86638132464e-09
501.5, 3.09704512541e-09, 4.08122979307e-09
502.0, 2.1378358899e-09, 2.8494910974e-09
502.5, 1.69814512889e-09, 2.0804198443e-09
503.0, 1.50392415202e-09, 1.832108303e-09
503.5, 1.94343597373e-09, 1.60896165501e-09
504.0, 1.13233656083e-09, 1.15974273679e-09
504.5, 9.94162345173e-10, 8.62045057872e-10
505.0, 8.21745758158e-10, 8.16124093646e-10
505.5, 9.61638199084e-10, 6.91296214255e-10
506.0, 1.17054744354e-09, 7.86612527044e-10
506.5, 9.95156947443e-10, 7.90300021143e-10
507.0, 1.07541627713e-09, 7.38801624442e-10
507.5, 1.4476569482e-09, 7.95902220966e-10
508.0, 1.34590818257e-09, 8.04542713737e-10
508.5, 1.67957299512e-09, 8.54181931075e-10
509.0, 1.3863742699e-09, 7.99205920431e-10
509.5, 1.3222037885e-09, 8.0817323309e-10
510.0, 8.59075821063e-10, 8.38252878979e-10
510.5, 6.33230886793e-10, 7.17025128154e-10
