Wavelength [nm]	Responsivity (normalized)
804	0.815124
805	0.812808
806	0.810783
807	0.808818
808	0.806716
809	0.804346
810	0.801652
811	0.798646
812	0.795398
813	0.792005
814	0.788569
815	0.78517
816	0.781851
817	0.778618
818	0.775452
819	0.772332
820	0.769266
821	0.766284
822	0.763395
823	0.760563
824	0.757716
825	0.75477
826	0.751659
827	0.748359
828	0.744898
829	0.741336
830	0.737736
831	0.734136
832	0.730538
833	0.72692
834	0.72326
835	0.719553
836	0.715826
837	0.712114
838	0.708458
839	0.7049
840	0.701491
841	0.698264
842	0.695212
843	0.692268
844	0.689332
845	0.686305
846	0.683133
847	0.67981
848	0.676353
849	0.672782
850	0.669106
851	0.665304
852	0.661318
853	0.65704
854	0.652329
855	0.647066
856	0.641212
857	0.634895
858	0.628481
859	0.622574
860	0.617847
861	0.614595
862	0.61236
863	0.610654
864	0.609068
865	0.607281
866	0.605101
867	0.602467
868	0.599417
869	0.596051
870	0.592484
871	0.588832
872	0.585186
873	0.581609
874	0.578108
875	0.574637
876	0.571116
877	0.567467
878	0.563641
879	0.559636
880	0.555488
881	0.551258
882	0.547012
883	0.542814
884	0.538706
885	0.534704
886	0.530799
887	0.526966
888	0.523179
889	0.519419
890	0.515675
891	0.511949
892	0.508252
893	0.504603
894	0.501013
895	0.497464
896	0.493906
897	0.490287
898	0.486571
899	0.482751
900	0.478832
901	0.474819
902	0.470709
903	0.466501
904	0.462189
905	0.457784
906	0.453321
907	0.448859
908	0.44447
909	0.440213
910	0.436123
911	0.432212
912	0.42848
913	0.424915
914	0.421488
915	0.418155
916	0.414856
917	0.411526
918	0.408119
919	0.404615
920	0.401023
921	0.397375
922	0.393696
923	0.39
924	0.386293
925	0.382579
926	0.378864
927	0.375155
928	0.371465
929	0.367811
930	0.364214
931	0.360685
932	0.357224
933	0.35382
934	0.350443
935	0.347052
936	0.343601
937	0.340058
938	0.336409
939	0.332668
940	0.328867
941	0.32504
942	0.321211
943	0.317387
944	0.313566
945	0.309758
946	0.305979
947	0.302243
948	0.298568
949	0.294972
950	0.291473
951	0.28809
952	0.284834
953	0.281697
954	0.278642
955	0.275613
956	0.272549
957	0.269404
958	0.266153
959	0.262788
960	0.25932
961	0.255773
962	0.252176
963	0.248565
964	0.24497
965	0.241417
966	0.237914
967	0.234464
968	0.231073
969	0.227759
970	0.224546
971	0.221452
972	0.218477
973	0.215591
974	0.212745
975	0.209891
976	0.206996
977	0.204046
978	0.201041
979	0.197995
980	0.194934
981	0.191887
982	0.188882
983	0.18593
984	0.183031
985	0.180178
986	0.177362
987	0.174578
988	0.171821
989	0.16909
990	0.166382
991	0.163697
992	0.161038
993	0.158406
994	0.155803
995	0.153227
996	0.150674
997	0.148136
998	0.145606
999	0.143078
1000	0.140553
