Wavelength [nm], Irradiance
8.615701482009196752e+02,1.711784121647810519e-01
8.615249485104657197e+02,1.693546741955357093e-01
8.614796027910516614e+02,1.715292879262018400e-01
8.614341111093696099e+02,1.689385192226877941e-01
8.613884735321113340e+02,1.716639262997702864e-01
8.613426901259684882e+02,1.679552511005666937e-01
8.612967609576331824e+02,1.683632461719862528e-01
8.612506860937970714e+02,1.684244454326991602e-01
8.612044656011519237e+02,1.704277012333690888e-01
8.611580995463897352e+02,1.687059620319786568e-01
8.611115879962022746e+02,1.695382719776745151e-01
8.610649310172813102e+02,1.705174601490813957e-01
8.610181286763188382e+02,1.698116286755255999e-01
8.609711810400065133e+02,1.703950616276555252e-01
8.609240881750363314e+02,1.690649976948278566e-01
8.608768501480999475e+02,1.712314515240655755e-01
8.608294670258892438e+02,1.679226114948531301e-01
8.607819388750961025e+02,1.714354490597753689e-01
8.607342657624124058e+02,1.701257848805186323e-01
8.606864477545299223e+02,1.696484306469577819e-01
8.606384849181404206e+02,1.690405179905426769e-01
8.605903773199357829e+02,1.692526754276808265e-01
8.605421250266078914e+02,1.695423519283887070e-01
8.604937281048485147e+02,1.702889829090864504e-01
8.604451866213495350e+02,1.695994712383874503e-01
8.603965006428027209e+02,1.726675941754623467e-01
8.603476702358999546e+02,1.698769078869527271e-01
8.602986954673331184e+02,1.709336151219293387e-01
8.602495764037938670e+02,1.708928156147873634e-01
8.602003131119741965e+02,1.698320284290965876e-01
8.601509056585658755e+02,1.706969779805059817e-01
8.601013541102607860e+02,1.701829041905173756e-01
8.600516585337506967e+02,1.689344392719736021e-01
8.600018189957274899e+02,1.687671612926915921e-01
8.599518355628829340e+02,1.693261145405363377e-01
8.599017083019087977e+02,1.712069718197804236e-01
8.598514372794971905e+02,1.689589189762587540e-01
8.598010225623396536e+02,1.686896422291218611e-01
8.597504642171281830e+02,1.715211280247734560e-01
8.596997623105545472e+02,1.677920530719989034e-01
8.596489169093105147e+02,1.718924035397652317e-01
8.595979280800880815e+02,1.695668316326738867e-01
8.595467958895790161e+02,1.680205303119938209e-01
8.594955204044750872e+02,1.688610001591180909e-01
8.594441016914680631e+02,1.687018820812644648e-01
8.593925398172500536e+02,1.699585069012366223e-01
8.593408348485125998e+02,1.703216225148000140e-01
8.592889868519475840e+02,1.718189644269097205e-01
8.592369958942470021e+02,1.700237861126637495e-01
8.591848620421026226e+02,1.709825745304996703e-01
8.591325853622062141e+02,1.714109693554901892e-01
8.590801659212495451e+02,1.702400235005161189e-01
8.590276037859246117e+02,1.670862215984430799e-01
8.589748990229231822e+02,1.700972252255192885e-01
8.589220516989370253e+02,1.695097123226751434e-01
8.588690618806580233e+02,1.679838107555660653e-01
8.588159296347780582e+02,1.677063741070007885e-01
8.587626550279887852e+02,1.704685007405110642e-01
8.587092381269823136e+02,1.694077135548202606e-01
8.586556789984502984e+02,1.683591662212720608e-01
8.586019777090845082e+02,1.687998008984051557e-01
8.585481343255769389e+02,1.723493580197551223e-01
8.584941489146192453e+02,1.667516656398790598e-01
8.584400215429035370e+02,1.680450100162790006e-01
8.583857522771213553e+02,1.690894773991130084e-01
8.583313411839646960e+02,1.703991415783697450e-01
8.582767883301252141e+02,1.691261969555407640e-01
8.582220937822950191e+02,1.701869841412315676e-01
8.581672576071657659e+02,1.697259497105274850e-01
8.581122798714292230e+02,1.671188612041566435e-01
8.580571606417773864e+02,1.684407652355559559e-01
8.580018999849020247e+02,1.716965659054838500e-01
8.579464979674949063e+02,1.673840580005793444e-01
8.578909546562479136e+02,1.710478537419267975e-01
8.578352701178529287e+02,1.703420222683710017e-01
8.577794444190017202e+02,1.708642559597880195e-01
8.577234776263860567e+02,1.707336975369337650e-01
8.576673698066979341e+02,1.720311218640478701e-01
8.576111210266291209e+02,1.681592486362764871e-01
8.575547313528713858e+02,1.716924859547696580e-01
8.574982008521166108e+02,1.722432793011860475e-01
8.574415295910565646e+02,1.726390345204630028e-01
8.573847176363831295e+02,1.697014700062423331e-01
8.573277650547881876e+02,1.699829866055218019e-01
8.572706719129635076e+02,1.689425991734019861e-01
8.572134382776009716e+02,1.695749915341022707e-01
8.571560642153923482e+02,1.690160382862574973e-01
8.570985497930295196e+02,1.697177898090991011e-01
8.570408950772042544e+02,1.708316163540744559e-01
8.569831001346084349e+02,1.730715092961677137e-01
8.569251650319338296e+02,1.696810702526713455e-01
8.568670898358724344e+02,1.705664195576517550e-01
8.568088746131159041e+02,1.691833162655395073e-01
8.567505194303561211e+02,1.687549214405489884e-01
8.566920243542849676e+02,1.683918058269855966e-01
8.566333894515942120e+02,1.717659250676251970e-01
8.565746147889757367e+02,1.706806581776492138e-01
8.565157004331214239e+02,1.709499349247861066e-01
8.564566464507229284e+02,1.710152141362132339e-01
8.563974529084721325e+02,1.719617627019065509e-01
8.563381198730610322e+02,1.694281133083912483e-01
8.562786474111813959e+02,1.703909816769413332e-01
8.562190355895248786e+02,1.693138746883937618e-01
8.561592844747834761e+02,1.713579299962056379e-01
8.560993941336490707e+02,1.676941342548582126e-01
8.560393646328133173e+02,1.691261969555407640e-01
8.559791960389680980e+02,1.692363556248240586e-01
8.559188884188054089e+02,1.680694897205641802e-01
8.558584418390169049e+02,1.729042313168857037e-01
8.557978563662944680e+02,1.687100419826928488e-01
8.557371320673299806e+02,1.678124528255698633e-01
8.556762690088150975e+02,1.698442682812391635e-01
8.556152672574419285e+02,1.701339447819470441e-01
8.555541268799021282e+02,1.691955561176821110e-01
8.554928479428874653e+02,1.687100419826928488e-01
8.554314305130899356e+02,1.694974724705325675e-01
8.553698746572013079e+02,1.682286077984178063e-01
8.553081804419133505e+02,1.698728279362385352e-01
8.552463479339180594e+02,1.694648328648190039e-01
8.551843771999070896e+02,1.687508414898347964e-01
8.551222683065723231e+02,1.683591662212720608e-01
8.550600213206056424e+02,1.720678414204756534e-01
8.549976363086988158e+02,1.732020677190219404e-01
8.549351133375437257e+02,1.722310394490434438e-01
8.548724524738321406e+02,1.676084552898600977e-01
8.548096537842559428e+02,1.703869017262271413e-01
8.547467173355070145e+02,1.694036336041060686e-01
8.546836431942771242e+02,1.676818944027156089e-01
8.546204314272580405e+02,1.682204478969893946e-01
8.545570821011417593e+02,1.681510887348480754e-01
8.544935952826199355e+02,1.676288550434310853e-01
8.544299710383844513e+02,1.710437737912126055e-01
8.543662094351273026e+02,1.683550862705578410e-01
8.543023105395401444e+02,1.727451132390320776e-01
8.542382744183147452e+02,1.671147812534424515e-01
8.541741011381431008e+02,1.715333678769160597e-01
8.541097907657170936e+02,1.684366852848417639e-01
8.540453433677282646e+02,1.680572498684215765e-01
8.539807590108687236e+02,1.701910640919457596e-01
8.539160377618302391e+02,1.680082904598512450e-01
8.538511796873045796e+02,1.691221170048265721e-01
8.537861848539836274e+02,1.698320284290965876e-01
8.537210533285591509e+02,1.694485130619622082e-01
8.536557851777230326e+02,1.697177898090991011e-01
8.535903804681671545e+02,1.710519336926409895e-01
8.535248392665832853e+02,1.708683359105022115e-01
8.534591616396631935e+02,1.695178722241035274e-01
8.533933476540988750e+02,1.692567553783950185e-01
8.533273973765819846e+02,1.691629165119685474e-01
8.532613108738045185e+02,1.680694897205641802e-01
8.531950882124581312e+02,1.683142867634158935e-01
8.531287294592348189e+02,1.679226114948531301e-01
8.530622346808263501e+02,1.682490075519887662e-01
8.529956039439244933e+02,1.705786594097943309e-01
